Время,№№,Маршрут,пн,вт,ср,чт,пт,сб,вс
5:34,Пригород,Площадь Бангалор — Бровки,1,1,1,1,1,0,0
6:12,Пригород,Площадь Бангалор — Бровки,1,1,1,1,1,1,1
6:40,1564-ТК,АВ Центральный — Семково,1,1,1,1,1,1,1
6:40,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
6:40,485-ТК,Комаровский рынок — д. Рогово,1,1,1,1,1,1,1
6:47,Пригород,Площадь Бангалор — Бовли,0,0,0,0,0,1,0
6:55,264,"Минск, Улица Карастояновой — Семково",1,1,1,1,1,0,0
7:10,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
7:20,301,"Минск, Улица Карастояновой — Вышково",1,1,1,1,1,1,1
7:35,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
7:37,1589-ТК,АВ Центральный — с/т Трактор,1,1,1,1,1,1,1
7:55,485-ТК,Комаровский рынок — д. Рогово,1,1,1,1,1,1,1
8:13,280,"Минск, Улица Карастояновой — Казеково-2",0,0,0,0,0,1,1
8:17,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
8:20,1589-ТК,АВ Центральный — с/т Трактор,1,1,1,1,1,1,1
8:35,215,"Минск, Улица Карастояновой — Бровки",1,1,1,1,1,0,1
8:50,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
9:10,485-ТК,Комаровский рынок — аг. Шершуны,1,1,1,1,1,1,1
9:20,319,"Минск, Улица Карастояновой — Заславль",1,1,1,1,1,1,1
9:25,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
9:30,1589-ТК,АВ Центральный — с/т Трактор,1,1,1,1,1,1,1
9:45,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
10:05,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
10:25,485-ТК,Комаровский рынок — д. Рогово,1,1,1,1,1,1,1
10:29,328,"Минск, Улица Карастояновой — Головачи",0,1,0,0,1,1,1
10:29,340,"Минск, Улица Карастояновой — Рогово",1,0,1,1,0,0,0
10:35,1564-ТК,АВ Центральный — Семково,1,1,1,1,1,1,1
10:36,280,"Минск, Улица Карастояновой — Казеково-2",0,0,0,0,0,1,0
10:50,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
11:14,264,"Минск, Улица Карастояновой — Семково",1,1,1,1,1,1,1
11:20,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
11:40,1589-ТК,АВ Центральный — с/т Трактор,1,1,1,1,1,1,1
11:50,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
12:15,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
12:35,1564-ТК,АВ Центральный — Семково,1,1,1,1,1,1,1
12:40,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
13:10,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
13:10,485-ТК,Комаровский рынок — аг. Шершуны,1,1,1,1,1,1,1
13:24,215,"Минск, Улица Карастояновой — Бровки",0,1,1,0,1,0,0
13:24,301,"Минск, Улица Карастояновой — Вышково",1,0,0,1,0,1,0
13:25,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
13:50,1589-ТК,АВ Центральный — с/т Трактор,1,1,1,1,1,1,1
13:55,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
13:55,485-ТК,Комаровский рынок — д. Рогово,1,1,1,1,1,1,1
14:15,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
14:20,1564-ТК,АВ Центральный — Семково,1,1,1,1,1,1,1
14:35,485-ТК,Комаровский рынок — д. Селец,1,1,1,1,1,1,1
15:00,485-ТК,Комаровский рынок — д. Рогово,1,1,1,1,1,1,1
15:20,215,"Минск, Улица Карастояновой — Бровки",1,1,1,1,1,1,1
15:30,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
15:45,1589-ТК,АВ Центральный — с/т Трактор,1,1,1,1,1,1,1
15:53,264,"Минск, Улица Карастояновой — Семково",1,1,1,1,1,1,1
16:00,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
16:15,1564-ТК,АВ Центральный — Семково,1,1,1,1,1,1,1
16:20,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
16:30,319,"Минск, Улица Карастояновой — Заславль",1,1,1,1,1,1,1
16:40,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
17:05,485-ТК,Комаровский рынок — аг. Шершуны,1,1,1,1,1,1,1
17:25,1589-ТК,АВ Центральный — с/т Трактор,1,1,1,1,1,1,1
17:29,280,"Минск, Улица Карастояновой — Казеково-2",0,0,0,0,0,1,1
17:30,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
17:55,215,"Минск, Улица Карастояновой — Бровки",1,1,1,1,1,1,0
17:55,485-ТК,Комаровский рынок — д. Рогово,1,1,1,1,1,1,1
18:00,1589-ТК,АВ Центральный — с/т Трактор (через Семково),1,1,1,1,1,1,1
18:20,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
18:25,301,"Минск, Улица Карастояновой — Вышково",1,1,1,1,1,1,1
18:40,485-ТК,Комаровский рынок — аг. Шершуны,1,1,1,1,1,1,1
19:05,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
19:30,485-ТК,Комаровский рынок — аг. Шершуны,1,1,1,1,1,1,1
19:40,1589-ТК,АВ Центральный — с/т Трактор,1,1,1,1,1,1,1
19:47,328,"Минск, Улица Карастояновой — Головачи",0,1,0,0,1,1,1
19:47,340,"Минск, Улица Карастояновой — Рогово",1,0,1,1,0,0,0
19:50,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
20:10,1564-ТК,АВ Центральный — Семково,1,1,1,1,1,1,1
20:15,485-ТК,Комаровский рынок — д. Рогово,1,1,1,1,1,1,1
20:38,215,"Минск, Улица Карастояновой — Бровки",1,1,1,1,1,0,0
20:45,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
21:05,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
21:15,215,"Минск, Улица Карастояновой — Бровки",1,1,1,1,1,1,1
21:30,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1
22:00,485-ТК,Комаровский рынок — д. Бровки,1,1,1,1,1,1,1