Должность,Ф.И.О.,Тел. рабочий,График приёма граждан
Председатель,"Гильнич
Николай Евгеньевич",8 017 515-28-21,"Понедельник с 14.00 до 20.00
Среда с 8.00 до 17.00
(обед с 13.00 до 14.00)"
Заместитель председателя,"Ракецкая
Светлана Васильевна",8 017 515-28-16,"Понедельник, среда с 08.00 до 17.00
(обед с 13.00 до 14.00)"
Управляющий делами,"Кухто
Людмила Александровна",8 017 515-28-17,"Понедельник, среда с 08.00 до 17.00
(обед с 13.00 до 14.00)"
"Главный специалист","Титова
Любовь Григорьевна",8 017 515-28-11,"Понедельник, среда с 8.00 до 17.00
(обед с 13.00 до 14.00)"
Инспектор,"Тупицына
Оксана Александровна",8 017 513-24-71,"Понедельник - пятница с 8.00 до 17.00
(обед с 13.00 до 14.00)"
"Специалист
1- категории (регистрация граждан)","Романчик
Светлана
Константиновна",8 017 515-28-19,"Понедельник, среда с 08.00 до 17.00
(обед с 13.00 до 14.00)"
"Специалист
1-й категории (военно-учётный стол)","Занько
Ирина Васильевна",8 017 515-28-10,"Понедельник, среда с 08.00 до 17.00
(обед с 13.00 до 14.00)"
"Специалист по налогам","Живулько
Елена Михайловна",8 017 515-28-13,"Понедельник с 11.00 до 20.00
(обед с 13.00 до 14.00,
тех. перерыв с 18.00 до 18.15)
Вторник – пятница с 8.00 до 17.00
(обед с 13.00. до 14.00)"
"Главный специалист управления
землеустройства МРИК","Парфенчик
Руслан Владимирович",8 017 515-28-12,"Среда с 08.00 до 17.00
(обед с 13.00 до 14.00)"
Главный бухгалтер,"Санцевич
Валентина Сергеевна",8 017 515-28-18,"Понедельник – пятница с 8.00 до 17.00
(обед с 13.00. до 14.00)"